team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2024/2025,Spain,5,2,3,0,3,1,2,2,1,1,0,0,0,2.2,2,2.33,3,10,1,3,11,8,3,19,11,8,6,5,5,3,1,2,41,30,54,56,36,90,0,0,0,5,2,3,0,0,0,3,1,2,20,9,11,18,5,13,44,45,43,59,29,30,29,14,15,30,15,15,44,15,29,6,3,3,6,4,2,0,-1,1,1,0,1,3,1,2,1,1,0,1.2,0.5,1.67,3.8,5.5,2.67,2.2,3,1.67,1.6,2.5,1,2.4,3.5,1.67,1.2,1.5,1,1.2,2,0.67,5,5,4,2,1,1,2,2,2,2,1,1,3,3,2,0,0,0,0,0,1,3,4,4,0,0,0,0,1,1,0,0,1,3,3,3,100,100,80,40,20,20,100,100,100,100,50,50,100,100,67,0,0,0,0,0,20,60,80,80,0,0,0,0,50,50,0,0,33,100,100,100,5,4,2,2,2,2,3,2,0,100,80,40,100,100,100,100,67,0,60,50,67,-10,0,0,0,100,100,100,0,0,0,60,50,67,1,0,1,20,0,33,0,0,0,0,0,0,4,2,2,80,100,67,20,0,33,60,50,67,20,50,0,4.00,4.50,3.67,3.6,2.5,4.33,80,80,80,60,60,40,40,20,1.43,1.71,1.25,1.68,1.68,1.68,60,1,1,2,1,1,1,1,0,3,0,2,1,1,2,1,0,1,0,40,50,33,0,0,0,20
FC Barcelona,FC Barcelona,2024/2025,Spain,4,2,2,0,4,2,2,0,0,0,0,0,0,3,3,3,1,2,2,1,13,3,10,16,10,6,9,4,1,2,8,2,28,20,45,120,180,90,1,1,0,3,1,2,0,0,0,2,2,0,29,15,14,8,4,4,67,69,65,55,30,25,31,18,13,24,12,12,41,17,24,5,4,1,3,1,2,2,3,-1,1,1,0,2,1,1,1,0,1,1.25,2,0.5,4,5,3,3.25,4.5,2,0.75,0.5,1,2,2.5,1.5,1.25,2,0.5,0.75,0.5,1,4,4,4,1,1,1,2,2,2,1,1,1,2,2,2,0,0,0,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,2,2,2,100,100,100,25,25,25,100,100,100,50,50,50,100,100,100,0,0,0,0,0,0,75,75,75,0,0,0,50,50,50,0,0,0,100,100,100,4,3,1,2,2,1,2,1,0,100,75,25,100,100,50,100,50,0,100,100,100,36,25,50,0,75,50,100,0,0,0,50,100,0,1,1,0,25,50,0,1,0,1,25,0,50,2,1,1,50,50,50,25,50,0,50,50,50,25,0,50,7.25,7.50,7.00,2,2,2.00,100,100,100,100,100,25,0,0,1.80,1.97,1.63,0.91,0.82,1.01,150,0,1,2,0,3,1,1,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Real Madrid CF,Real Madrid,2024/2025,Spain,5,2,3,0,3,2,1,2,0,2,0,0,0,2.2,3,1.67,2,3,3,2,9,2,7,11,5,6,5,4,0,2,5,2,50,36,68,225,0,134,3,2,1,2,0,2,0,0,0,4,2,2,31,12,19,9,3,6,60,62,58,66,27,39,40,18,22,26,9,17,47,19,28,1,0,1,1,0,1,0,0,0,1,0,1,3,2,1,1,0,1,1.2,1,1.33,2.2,2.5,2,1.8,2.5,1.33,0.4,0,0.67,0.4,0,0.67,0.2,0,0.33,0.2,0,0.33,5,5,1,0,0,0,2,2,1,0,0,0,3,3,0,0,0,0,0,0,4,5,5,5,0,0,1,2,2,2,0,0,3,3,3,3,100,100,20,0,0,0,100,100,50,0,0,0,100,100,0,0,0,0,0,0,80,100,100,100,0,0,50,100,100,100,0,0,100,100,100,100,2,0,0,0,0,0,2,0,0,40,0,0,0,0,0,67,0,0,60,100,33,70,60,100,33,40,0,67,0,0,0,80,100,67,4,2,2,80,100,67,4,2,2,80,100,67,0,0,0,0,0,0,20,0,33,60,100,33,20,0,33,6.20,6.00,6.33,1.8,1.5,2.00,100,100,80,80,40,40,20,20,1.89,2.02,1.80,1.07,0.90,1.19,60,0,1,0,0,1,1,2,2,2,1,0,0,0,0,1,0,0,0,40,0,67,0,0,0,20
Sevilla FC,Sevilla FC,2024/2025,Spain,5,3,2,0,1,1,0,2,0,2,2,2,0,1,1,1,13,14,10,13,4,6,-2,10,6,4,2,2,4,2,-2,0,113,134,90,75,68,90,2,1,1,2,1,1,2,1,1,2,1,1,29,17,12,14,9,5,55,57,54,66,36,30,33,19,14,33,17,16,66,41,25,3,2,1,3,2,1,0,0,0,1,1,0,3,1,2,1,1,0,1.2,1.33,1,2,2,2,0.8,0.67,1,1.2,1.33,1,1.2,1.33,1,0.6,0.67,0.5,0.6,0.67,0.5,4,3,2,1,0,0,3,2,1,0,0,0,1,1,1,1,0,0,1,2,3,4,5,5,0,1,2,3,3,3,1,1,1,1,2,2,80,60,40,20,0,0,100,67,33,0,0,0,50,50,50,50,0,0,20,40,60,80,100,100,0,33,67,100,100,100,50,50,50,50,100,100,4,2,0,3,1,0,1,1,0,80,40,0,100,33,0,50,50,0,20,33,0,-14,40,33,50,40,33,50,40,33,50,40,33,50,2,1,1,40,33,50,2,1,1,40,33,50,2,1,1,40,33,50,20,33,0,60,33,100,20,33,0,5.80,5.67,6.00,2.8,3,2.50,100,80,80,40,40,40,20,20,1.63,1.56,1.74,1.33,1.26,1.45,20,0,0,2,0,1,0,1,0,0,1,0,0,0,2,0,0,2,1,40,0,100,40,67,0,0
Club Atlético de Madrid,Atlético Madrid,2024/2025,Spain,4,2,2,0,2,1,1,2,1,1,0,0,0,2,2,2,4,6,5,4,6,2,4,8,3,5,3,3,0,2,3,1,60,60,60,180,0,90,3,2,1,1,0,1,1,1,0,2,1,1,15,10,5,5,1,4,52,52,51,43,27,16,23,15,8,20,12,8,38,17,21,3,1,2,2,0,2,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,2,1.5,2.5,1.5,1.5,1.5,0.5,0,1,1.25,0.5,2,0.75,0.5,1,0.5,0,1,3,2,2,1,0,0,1,1,1,0,0,0,2,1,1,1,0,0,1,2,2,3,4,4,1,1,1,2,2,2,0,1,1,1,2,2,75,50,50,25,0,0,50,50,50,0,0,0,100,50,50,50,0,0,25,50,50,75,100,100,50,50,50,100,100,100,0,50,50,50,100,100,2,1,1,1,0,0,1,1,1,50,25,25,50,0,0,50,50,50,50,50,50,50,75,100,50,25,0,50,25,50,0,50,50,50,3,2,1,75,100,50,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,75,50,100,0,0,0,3.75,5.00,2.50,1.25,0.5,2.00,50,50,50,50,25,25,0,0,1.42,1.74,1.10,1.09,1.10,1.09,50,0,1,0,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,50,50,50,0,0,0,0
UD Las Palmas,UD Las Palmas,2024/2025,Spain,4,2,2,0,0,0,0,2,2,0,2,0,2,0.5,1,0,19,16,17,19,4,7,-3,11,6,5,3,1,3,4,0,-3,90,60,180,51,60,45,0,0,0,3,2,1,1,0,1,1,1,0,20,8,12,3,2,1,56,46,66,41,20,21,23,10,13,18,10,8,49,30,19,2,2,0,2,1,1,0,1,-1,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2.75,3,2.5,1,1.5,0.5,1.75,1.5,2,1,1.5,0.5,0.5,1,0,0.5,0.5,0.5,4,4,2,1,0,0,2,2,1,1,0,0,2,2,1,0,0,0,0,0,2,3,4,4,0,0,1,1,2,2,0,0,1,2,2,2,100,100,50,25,0,0,100,100,50,50,0,0,100,100,50,0,0,0,0,0,50,75,100,100,0,0,50,50,100,100,0,0,50,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,0,0,0,32,0,0,0,75,100,50,25,0,50,25,50,0,2,1,1,50,50,50,2,0,2,50,0,100,1,1,0,25,50,0,25,50,0,50,50,50,25,0,50,5.00,4.00,6.00,0.75,1,0.50,100,100,75,50,25,0,0,0,1.30,1.22,1.37,1.70,2.04,1.36,50,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,2,2,1,50,100,0,50,0,100,0
Deportivo Alavés,Deportivo Alavés,2024/2025,Spain,5,2,3,0,2,1,1,1,1,0,2,0,2,1.4,2,1,6,7,9,6,7,6,1,13,2,11,2,5,0,6,2,-1,64,90,54,75,0,45,2,2,0,3,0,3,1,1,0,2,1,1,22,9,13,15,6,9,42,33,48,51,15,36,24,8,16,27,7,20,80,30,50,4,1,3,2,0,2,2,1,1,2,1,1,3,1,2,0,0,0,1.8,2,1.67,2.6,1,3.67,1.4,1,1.67,1.2,0,2,1.2,0.5,1.67,0.8,0.5,1,0.4,0,0.67,4,4,3,1,1,0,1,1,0,0,0,0,3,3,3,1,1,0,1,1,2,4,4,5,1,1,2,2,2,2,0,0,0,2,2,3,80,80,60,20,20,0,50,50,0,0,0,0,100,100,100,33,33,0,20,20,40,80,80,100,50,50,100,100,100,100,0,0,0,67,67,100,4,2,0,1,0,0,3,2,0,80,40,0,50,0,0,100,67,0,40,50,33,36,40,100,0,60,0,100,20,50,0,40,50,33,3,2,1,60,100,33,1,1,0,20,50,0,2,0,2,40,0,67,40,50,33,60,50,67,0,0,0,4.40,4.50,4.33,3,3,3.00,60,60,60,60,60,20,20,20,1.33,1.08,1.51,1.18,1.43,1.01,60,1,1,0,1,1,0,1,2,0,0,0,1,1,0,1,2,0,1,20,50,0,40,0,67,0
CD Leganés,Leganés,2024/2025,Spain,5,2,3,0,1,1,0,2,0,2,2,1,1,1,1.5,0.67,12,13,11,12,3,5,-2,8,4,4,2,1,2,3,0,-2,150,90,273,90,90,90,1,0,1,2,1,1,3,1,2,2,1,1,13,4,9,11,2,9,42,47,39,35,19,16,16,9,7,19,10,9,71,22,49,1,0,1,1,1,0,0,-1,1,1,0,1,3,1,2,1,1,0,1.2,0.5,1.67,1.6,2,1.33,0.6,1,0.33,1,1,1,0.4,0.5,0.33,0.2,0,0.33,0.2,0.5,0,4,3,1,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,1,2,4,5,5,5,0,1,1,2,2,2,1,1,3,3,3,3,80,60,20,0,0,0,100,50,50,0,0,0,67,67,0,0,0,0,20,40,80,100,100,100,0,50,50,100,100,100,33,33,100,100,100,100,2,0,0,1,0,0,1,0,0,40,0,0,50,0,0,33,0,0,20,50,0,0,20,0,33,40,50,33,60,50,67,40,50,33,4,1,3,80,50,100,4,2,2,80,100,67,0,0,0,0,0,0,20,0,33,60,50,67,20,50,0,2.60,2.00,3.00,2.2,1,3.00,80,80,60,60,20,20,0,0,0.87,1.18,0.67,1.47,1.24,1.62,40,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,40,0,67,40,50,33,0
Real Club Celta de Vigo,Celta de Vigo,2024/2025,Spain,4,2,2,0,2,2,0,0,0,0,2,0,2,1.5,3,0,9,4,16,9,10,9,1,19,7,12,5,5,2,7,3,-2,36,36,36,40,90,26,0,0,0,4,2,2,0,0,0,1,0,1,14,7,7,10,5,5,55,57,53,40,15,25,26,11,15,14,4,10,34,17,17,5,2,3,5,2,3,0,0,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,4.75,3.5,6,2.5,2.5,2.5,2.25,1,3.5,2.5,2,3,1.25,1,1.5,1.25,1,1.5,4,4,4,3,2,1,2,2,2,1,0,0,2,2,2,2,2,1,0,0,0,1,2,3,0,0,0,1,2,2,0,0,0,0,0,1,100,100,100,75,50,25,100,100,100,50,0,0,100,100,100,100,100,50,0,0,0,25,50,75,0,0,0,50,100,100,0,0,0,0,0,50,4,3,3,2,1,1,2,2,2,100,75,75,100,50,50,100,100,100,50,100,0,28,0,0,0,100,100,100,0,0,0,25,0,50,0,0,0,0,0,0,1,1,0,25,50,0,3,1,2,75,50,100,50,50,50,0,0,0,50,50,50,3.50,3.50,3.50,2.5,2.5,2.50,75,75,75,50,50,0,0,0,1.40,1.12,1.68,1.46,1.28,1.65,125,0,1,3,1,0,1,1,1,2,0,2,2,0,1,1,2,0,1,0,0,0,50,0,100,0
Real Betis Balompié,Real Betis,2024/2025,Spain,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,10,8,14,10,3,3,0,6,4,2,3,0,1,2,2,-2,120,60,0,120,180,90,2,1,1,1,1,0,2,0,2,2,2,0,26,15,11,7,3,4,52,52,52,46,27,19,18,11,7,28,16,12,55,22,33,1,1,0,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,1.5,2,1,0.75,1.5,0,0.75,0.5,1,0.25,0.5,0,0.25,0.5,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,4,4,4,4,0,0,2,2,2,2,1,1,2,2,2,2,75,75,0,0,0,0,100,100,0,0,0,0,50,50,0,0,0,0,25,25,100,100,100,100,0,0,100,100,100,100,50,50,100,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,50,0,0,0,0,0,25,50,0,67,50,50,50,25,50,0,50,0,100,50,100,0,4,2,2,100,100,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,75,50,100,0,0,0,6.50,7.50,5.50,1.75,1.5,2.00,100,100,75,75,50,25,0,0,1.43,1.61,1.25,1.06,0.80,1.32,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,50,50,50,25,0,50,0
